epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,345.206,0.52385,0.98,1,0.0796,0.000368482,0.000368482,0.000368482
2,566.329,0.18487,0.98125,1,0.05659,0.000495006,0.000495006,0.000495006
3,785.621,0.10916,0.99625,1,0.02228,0.00037711,0.00037711,0.00037711
